sum,Organization Location,GPT_living,GPT_housing
15000000,"Tajonar, Navarra, Spain, Europe",1500,"250,000"
15000000,"Roma, Lazio, Italy, Europe",1500,"500,000"
75000000,"Aarhus, Midtjylland, Denmark, Europe",1500,"350,000"
15000000,"Essen, Nordrhein-Westfalen, Germany, Europe",1500,300000
15000000,"Montbonnot, Rhone-Alpes, France, Europe",1500,"450,000"
15000000,"Châtillon, Ile-de-France, France, Europe",1500,5500
14700000,"Athens, Attiki, Greece, Europe",1200,1500
14000000,"Almere, Flevoland, The Netherlands, Europe",1500,"350,000"
23200000,"Warsaw, Mazowieckie, Poland, Europe",1200,"150,000"
36600000,"Darmstadt, Hessen, Germany, Europe",1500,"400,000"
15000000,"Firenze, Toscana, Italy, Europe",1500,"450,000"
25400000,"Sheffield, Sheffield, United Kingdom, Europe",1500,"As of my last update, I don't have real-time data to provide current housing prices. For the most accurate and up-to-date information, please refer to local real estate listings or market reports."
17000000,"Strasbourg, Alsace, France, Europe",1500,"350,000"
167500000,"Göteborg, Vastra Gotaland, Sweden, Europe",1500,"500,000"
13000000,"Augsburg, Bayern, Germany, Europe",1500,"450,000"
25700000,"Osterreicher, Steiermark, Austria, Europe",1500,"250,000"
13000000,"Riva Del Garda, Trentino-Alto Adige, Italy, Europe",1500,"350,000"
31900000,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium, Europe",2000,"450,000"
12500000,"Rennes, Bretagne, France, Europe",1500,"350,000"
12000000,"Ecublens, Vaud, Switzerland, Europe",2500,1200000
13000000,"Sankt Gallen, Sankt Gallen, Switzerland, Europe",2500,700000
10000000,"Cardiff, Cardiff, United Kingdom, Europe",1500,300000
12000000,"Galway, Galway, Ireland, Europe",2000,350000
12600000,"Stockport, Stockport, United Kingdom, Europe",1500,"250,000"
11400000,"Ismaning, Bayern, Germany, Europe",1500,700000
12500000,"Yenimahalle, Ankara, Turkey, Europe",800,"150,000"
11400000,"Osann-monzel, Rheinland-Pfalz, Germany, Europe",1500,"I’m sorry, but I don’t have the specific data for the average cost of housing in Osann-Monzel, Rheinland-Pfalz, Germany."
11000000,"Clermont-ferrand, Auvergne, France, Europe",1200,"250,000"
10000000,"Basildon, Essex, United Kingdom, Europe",1500,350000
12000000,"Lucca, Toscana, Italy, Europe",1500,"350,000"
12000000,"Keila, Harjumaa, Estonia, Europe",1200,"150,000"
10850000,"Porto, Lisboa, Portugal, Europe",1200,"I don't have real-time data, but as of the latest information available, the average cost of housing in Lisbon, Portugal, is approximately 4,000 euros per square meter."
80000000,"Vejen, Syddanmark, Denmark, Europe",1500,"250,000"
11483363,"Saint-mandé, Ile-de-France, France, Europe",2500,8500
280000000,"Fornebu, Akershus, Norway, Europe",2500,"600,000"
11000000,"Eisenstadt, Burgenland, Austria, Europe",1500,300000
47800000,"Edinburgh, Edinburgh, City of, United Kingdom, Europe",2000,"350,000"
8800000,"Belfast, Belfast, United Kingdom, Europe",1500,230000
9000000,"Salford, Oxfordshire, United Kingdom, Europe",1500,"350,000"
10200000,"Diepenbeek, Limburg, Belgium, Europe",1200,"250,000"
8700000,"Lancaster, Lancashire, United Kingdom, Europe",1500,"250,000"
9900000,"Échirolles, Rhone-Alpes, France, Europe",1500,"250,000"
10000000,"Castelldefels, Catalonia, Spain, Europe",1500,400000
52500000,"Sofia, Grad Sofiya, Bulgaria, Europe",1000,1500
10000000,"Cork, Cork, Ireland, Europe",2000,"350,000"
16000000,"'s-hertogenbosch, Noord-Brabant, The Netherlands, Europe",1500,"350,000"
10000000,"Templemars, Nord-Pas-de-Calais, France, Europe",1500,"250,000"
15000000,"Tartu, Tartumaa, Estonia, Europe",1100,"150,000"
10000000,"Ioánnina, Ioannina, Greece, Europe",1000,1200
10000000,"Nivelles, Brabant Wallon, Belgium, Europe",1500,350000
9000000,"Solothurn, Solothurn, Switzerland, Europe",2500,"800,000"
8000000,"Swindon, Wiltshire, United Kingdom, Europe",1500,280000
10000000,"Ankara, Ankara, Turkey, Europe",800,100000
7500000,"Lisburn, Lisburn, United Kingdom, Europe",1500,"250,000"
9000000,"Sindelfingen, Baden-Wurttemberg, Germany, Europe",1500,"450,000"
7250000,"Guilford, Surrey, United Kingdom, Europe",2500,"500,000"
9000000,"Renens, Vaud, Switzerland, Europe",2500,"800,000"
17000000,"Lille, Nord-Pas-de-Calais, France, Europe",1500,300000
28500000,"Kraków, Malopolskie, Poland, Europe",1000,"500,000"
8000000,"Mainz, Rheinland-Pfalz, Germany, Europe",1500,"400,000"
8000000,"Esch-sur-alzette, Luxembourg, Luxembourg, Europe",2500,750000
7200000,"Aachen, Nordrhein-Westfalen, Germany, Europe",1500,"350,000"
17080000,"Bern, Bern, Switzerland, Europe",3000,1200000
14000000,"Wallisellen, Zurich, Switzerland, Europe",3000,"800,000"
17500000,"Garching Bei München, Bayern, Germany, Europe",1500,"700,000"
7000000,"Frankfurt, Hessen, Germany, Europe",2000,"500,000"
6000000,"Crawley, West Sussex, United Kingdom, Europe",1500,"350,000"
7000000,"Perugia, Umbria, Italy, Europe",1200,200000
164500000,"Prague, Hlavni mesto Praha, Czech Republic, Europe",1500,500000
7000000,"Padua, Veneto, Italy, Europe",1200,"250,000"
11300000,"Bordeaux, Aquitaine, France, Europe",1500,"450,000"
6500000,"Neuilly-sur-seine, Ile-de-France, France, Europe",3000,12000
6500000,"Castellón, Comunidad Valenciana, Spain, Europe",1200,150000
7000000,"Budapest, Budapest, Hungary, Europe",1200,"300,000"
12000000,"Tórtola, Castilla-La Mancha, Spain, Europe",1200,"I’m sorry, but I don’t have specific data on the average cost of housing in Tórtola, Castilla-La Mancha, Spain."
6300000,"Mostar, Federation of Bosnia and Herzegovina, Bosnia and Herzegovina, Europe",800,80000
6500000,"Saint-Étienne, Lorraine, France, Europe","I apologize, but I cannot provide an accurate cost of living estimate for Saint-Étienne, Lorraine, France, as Saint-Étienne is not located in the Lorraine region. If you meant Saint-Étienne in the Auvergne-Rhône-Alpes region, please clarify, or provide another city for which you need the cost of living estimate.","I am unable to provide real-time data or specific estimates for housing costs in Saint-Étienne, Lorraine, France. However, as of the last update, Saint-Étienne is not located in Lorraine; it is in the Auvergne-Rhône-Alpes region. If you meant Saint-Étienne, the average cost of housing there is generally lower compared to larger French cities. For the most accurate and current information, I recommend checking local real estate listings or consulting a real estate professional in the area."
6300000,"Grenoble, Rhone-Alpes, France, Europe",1500,3500
12300000,"Freiburg, Baden-Wurttemberg, Germany, Europe",1500,"450,000"
5600000,"Chatham, Medway, United Kingdom, Europe",1500,"250,000"
5500000,"Stockbridge, Hampshire, United Kingdom, Europe",1500,"350,000"
9090000,"Coventry, Coventry, United Kingdom, Europe",1500,"250,000"
6000000,"Schiltigheim, Alsace, France, Europe",1500,300000
12300000,"Uusimaa, Southern Finland, Finland, Europe",1800,"350,000"
6000000,"Arzignano, Veneto, Italy, Europe",1200,1500
6000000,"Cesson-sévigné, Bretagne, France, Europe",1500,"350,000"
6000000,"Villeurbanne, Rhone-Alpes, France, Europe",1500,4000
6000000,"Bollullos De La Mitación, Andalucia, Spain, Europe",1200,"150,000"
5000000,"Warrington, Warrington, United Kingdom, Europe",1500,"250,000"
6000000,"Ulm, Baden-Wurttemberg, Germany, Europe",1500,"350,000"
5000000,"Ballymena, Ballymena, United Kingdom, Europe",1500,180000
5700000,"Innsbruck, Tirol, Austria, Europe",1500,"550,000"
5500000,"Paderborn, Nordrhein-Westfalen, Germany, Europe",1200,"300,000"
6000000,"Solingen, Nordrhein-Westfalen, Germany, Europe",1500,"350,000"
5550000,"Salzburg, Salzburg, Austria, Europe",1500,"500,000"
5350000,"Herlev, Hovedstaden, Denmark, Europe",2000,"450,000"
5600000,"Labège, Midi-Pyrenees, France, Europe",1500,300000
8800000,"Gateshead, Gateshead, United Kingdom, Europe",1500,"180,000"
5500000,"San Vito Dei Normanni, Puglia, Italy, Europe",1100,"120,000"
5000000,"Palma De Mallorca, Islas Baleares, Spain, Europe",1500,400000
5000000,"Lombardi, Campania, Italy, Europe","I’m sorry, but I don’t have specific cost of living data for Lombardi, Campania.","I'm sorry, but I cannot provide an accurate estimate for the cost of housing in Lombardi, Campania, as it seems to be a mix-up of two different regions in Italy: Lombardy and Campania. Could you please specify which region or city you are referring to?"
10000000,"Bielefeld, Nordrhein-Westfalen, Germany, Europe",1500,"300,000"
5500000,"Muenchen, Bayern, Germany, Europe",2500,800000
5000000,"Rotterdam, Zuid-Holland, The Netherlands, Europe",2000,400000
5000000,"Nijmegen, Gelderland, The Netherlands, Europe",1500,350000
5000000,"Aulnay-sous-bois, Ile-de-France, France, Europe",1500,300000
5000000,"Dortmund, Nordrhein-Westfalen, Germany, Europe",1500,300000
9000000,"Montpellier, Languedoc-Roussillon, France, Europe",1500,400000
9500000,"A Coruña, Galicia, Spain, Europe",1200,200000
5000000,"Milano, Lombardia, Italy, Europe",2000,"500,000"
9400000,"Lisbon, Lisboa, Portugal, Europe",1500,"500,000"
4000000,"Southampton, Southampton, United Kingdom, Europe",1500,300000
4000000,"Daresbury, Halton, United Kingdom, Europe",1500,"250,000"
5000000,"Piaseczno, Mazowieckie, Poland, Europe",1200,500000
5000000,"Besiktas, Istanbul, Turkey, Europe",1000,500000
5000000,"Izmir, Izmir, Turkey, Europe",800,"150,000"
5000000,"Limassol, Limassol, Cyprus, Europe",2000,"300,000"
4500000,"Mödling, Niederosterreich, Austria, Europe",1500,"450,000"
4000000,"Glasgow, Glasgow City, United Kingdom, Europe",2200,"250,000"
4500000,"Den Haag, Zuid-Holland, The Netherlands, Europe",1800,"400,000"
4700000,"Évry, Ile-de-France, France, Europe",1500,"250,000"
4000000,"Opfikon, Zurich, Switzerland, Europe",3000,"800,000"
4300000,"Bruchsal, Baden-Wurttemberg, Germany, Europe",1500,"350,000"
20000000,"Katowice, Slaskie, Poland, Europe",1000,1500
4600000,"Bergen, Hordaland, Norway, Europe",2000,"500,000"
4100000,"Bidart, Aquitaine, France, Europe",1500,"500,000"
4200000,"Naples, Campania, Italy, Europe",1200,"250,000"
4000000,"Mechelen, Antwerpen, Belgium, Europe",1500,"350,000"
3500000,"Wandsworth, Wandsworth, United Kingdom, Europe",2500,700000
4000000,"Bilbao, Pais Vasco, Spain, Europe",1500,"300,000"
4000000,"Paterna, Comunidad Valenciana, Spain, Europe",1200,150000
4000000,"Anderlecht, Brussels Hoofdstedelijk Gewest, Belgium, Europe",1500,300000
3700000,"Regensdorf, Zurich, Switzerland, Europe",2500,"800,000"
4000000,"Coimbra, Coimbra, Portugal, Europe",1000,1500
